Dates,text,label
15-Nov-18,Auto manufacturers may recoup lost pricing power in 2019 pre-buying burst,1
14-Nov-18,"M&M Standalone September 2018 Net Sales at Rs 12,988.57 crore, up 6.62% Y-o-Y",1
14-Nov-18,"M&M Q2 net profit up 26% YoY at Rs 1,778.75 crore; tractor revenues grow 1.8%",1
14-Nov-18,M&M Q2 preview: Lower tractor volumes could weigh on performance,1
06-Nov-18,"Ford Motor goes local in India, aims for bigger slice of competitive market",1
02-Nov-18,"Mahindra trucks getting more traction among large fleet owners, says CEO Vinod Sahay",1
19-Oct-18,"Mahindra Marazzo bookings cross 10,000 mark",0
17-Oct-18,Mahindra to supply BS-VI petrol engine to Ford,0
12-Oct-18,"Mahindra & Mahindra Q2 PAT seen up 4.9% YoY to Rs. 1,397.1 cr: Prabhudas Lilladher",0
12-Oct-18,Mahindra Agri signs JV with Sumitomo Corp for crop care,0
10-Oct-18,"M&M enters vehicle leasing business via tie-up with Orix, ALD Automotive",1
09-Oct-18,"Mahindra and Mahindra Q2 PAT may dip 1.5% YoY to Rs. 1,389.9 cr: Motilal Oswal",1
09-Oct-18,M&M€™s Korean arm SsanYong to fund investments from own kitty,1
05-Oct-18,"Soon Uber customers, drivers won't see each other's mobile number",1
04-Oct-18,Fiat boss Kevin Flynn hopes to navigate India's rough terrain with Jeep,1
01-Oct-18,"Car sales slow down in September on high fuel costs, product price increase",1
01-Oct-18,M&M September sales up 2% on year as demand for CVs rises,1
19-Sep-18,"M&M draws up plans for an electric hatchback to counter Maruti, Toyota: report",1
17-Sep-18,Buy Mahindra and Mahindra; target of Rs 1075: Sharekhan,1
14-Sep-18,Mahindra & Mahindra to go carbon neutral by 2040,1
12-Sep-18,US to probe India's Mahindra over Fiat Chrysler Jeep complaint,1
12-Sep-18,Buy or sell: Top stock trading ideas by market experts which are good short term bets,1
11-Sep-18,Mahindra Roxor launch: US Trade Commission launches investigation for alleged violations,1
07-Sep-18,Buy Mahindra and Mahindra Financial; target of Rs 650: JM Financial,1
06-Sep-18,Electric vehicle segment to stabilise in India over next 5 years : M&M,0
05-Sep-18,Automobile industry wants stable policy from Government,0
05-Sep-18,Buy Mahindra and Mahindra; target of Rs 1156: Prabhudas Lilladher,0
04-Sep-18,"Electric Nano secures Rs 1.24 lakh in govt subsidy, TVS' three-wheeler also on list",0
04-Sep-18,"M&M may partner Ford for greater global reach, expertise",0
03-Sep-18,"Mahindra Marazzo to debut today, will take on Maruti Ertiga",1
29-Aug-18,Fiat wants US court to reject Mahindra€™s counter claim on copyright infringement,1
20-Aug-18,Mitsubishi to roll out Jeep Compass competitor in 2020,0
20-Aug-18,Buy Mahindra & Mahindra: Equity99,0
14-Aug-18,"Mahindra to halt new models launches after March 2019, will wait for BS-VI norms to kick in",0
09-Aug-18,"Coffee Can Investing | To understand a company better, speak to line managers, not promoters, says SageOne€™s Vartak",0
08-Aug-18,"M&M: Strong Q1 performance, value investors should accumulate",0
06-Aug-18,Mahindra & Mahindra Q1 preview: Net profit expected to see double-digit growth,0
06-Aug-18,Fiat's claims of copying Jeep design lack merit: Mahindra,0
03-Aug-18,"Fiat blocks Mahindra's second coming in the US, says Indian co copying its model",0
01-Aug-18,Mahindra & Mahindra July auto sales rise 13%; tractor growth at 13% but exports fall 4%,0
31-Jul-18,"Mahindra may not upgrade some models to BS-VI, says Pawan Goenka",0
31-Jul-18,"New MUV from Mahindra is called Marazzo, to be launched this quarter",0
30-Jul-18,"Mahindra to join peers, hike vehicle prices by up to Rs 30,000 in August",0
30-Jul-18,"Mahindra to join peers, hike vehicle prices by up to Rs 30,000 in August",0
18-Jul-18,"BMW launches bikes G310 R at Rs 2.99 lakh, G310 GS at Rs 3.49 lakh",0
17-Jul-18,"Mahindra & Mahindra Q1 PAT seen up 33.3% YoY to Rs. 1,136.8 cr: Kotak",0
12-Jul-18,"In a first at Mahindra, MD's pay package surpasses that of Chairman's",0
11-Jul-18,Podcast | Stock Picks of the Day: 3 stocks that could return 6-13%,0
02-Jul-18,Mahindra tractor sales up 22% in June,0
29-Jun-18,Buy Mahindra and Mahindra; target of Rs 960: JM Financial,0
28-Jun-18,Buy Mahindra and Mahindra; target of Rs 1041: Prabhudas Lilladher,0
28-Jun-18,Buy Mahindra and Mahindra; target of Rs 1040: Edelweiss,0
28-Jun-18,"Govt officials refuse to use Mahindra, Tata Motors e-vehicles citing poor performance",0
28-Jun-18,Mahindra targets 50% share in domestic tractor market with Trakstar brand,0
27-Jun-18,Buy Mahindra and Mahindra; target of Rs 1053: Motilal Oswal,0
14-Jun-18,Here€™s why Anand Mahindra repeatedly rejects stakeholders' plea to hive off tractor business,1
12-Jun-18,Mahindra to spruce up truck and bus presence with an eye on the top spot,1
05-Jun-18,Buy Mahindra & Mahindra; target of Rs 1037: Edelweiss,0
04-Jun-18,Podcast | Digging deeper - The Business of Family: Mahindras,0
01-Jun-18,"M&M automotive segment sales rise 12%, tractor sector 14% in May",0
31-May-18,M&M to invest Rs 500 cr in Chakan plant to expand EV portfolio,0
31-May-18,Big brokerages bet on these 10 wealth creating ideas for 20-50% return in a year,0
30-May-18,"M&M: Stock yet to factor in rural recovery, product innovation",0
04-May-18,Tractor industry to grow 8-10% in FY'19: Mahindra,1
27-Apr-18,Mahindra launches two new tractors under Nuvo brand starting at Rs 9.99 lakh,0
26-Apr-18,"Buy Mahindra & Mahindra, target Rs 910: Mustafa Nadeem",0
24-Apr-18,"Buy Mahindra & Mahindra, target Rs 910: Ashish Chaturmohta",0
19-Apr-18,"Buy Mahindra & Mahindra, target Rs 1005: SMC Global Securities",0
18-Apr-18,M&M rolls out new XUV variant as competition bites,0
17-Apr-18,Mahindra & Mahindra joins Rs 1-trillion m-cap club,0
13-Apr-18,Mahindra launches new luxury EV brand Automobili Pininfarina,0
10-Apr-18,Mahindra Bolero crosses 10 lakh cumulative sales milestone,0
02-Apr-18,"Despite year-end discounts motown March sales disappoint; Maruti, Tata Motors buck the trend",0
02-Apr-18,"News highlights of the day: Dow Jones drops 500 points on Trump's tweet on Amazon, rising trade war fears",0
02-Apr-18,"Mahindra tractor sales up 46.23% in March at 28,277 units",0
02-Apr-18,Mahindra & Mahindra sales up 10% in March,0
02-Apr-18,"M&M March auto sector sells up 10% at 62,077 vehicles",0
27-Mar-18,M&M to form JV with Ideal Motors for vehicle assembly in Sri Lanka,0
26-Mar-18,Sebi exempts 2 trusts linked to M&M from open offer requirement,0
26-Mar-18,"Ford SUV to be launched on Mahindra platform by 2021, says MD Pawan Goenka",0
26-Mar-18,"Buy M&M & Balkrishna Industries, says Mitessh Thakkar",0
26-Mar-18,Entering FY19 without major headwinds; govt's focus on rural economy is positive: M&M,0
23-Mar-18,"M&M to charge up electric vehicles segment with more powerful batteries, 2 new SUVs expected",0
22-Mar-18,"Mahindra, Ford to develop SUVs, small electric vehicles",0
22-Mar-18,Mahindra to overhaul its engine lineup as BS-VI norms inch closer,0
22-Mar-18,News highlights of the day: BJP says Cambridge Analytica's footprints seen in Congress's Gujarat campaign,0
20-Mar-18,Mahindra Bolero makes it to PV top 10 list in February,0
16-Mar-18,"Buy Mahindra & Mahindra, Reliance Communications likely to head to Rs 28: Mitessh Thakkar",0
09-Mar-18,Mahindra sees spike in truck demand but suppliers not ramping up fast enough,0
05-Mar-18,"Sell RIL, Tata Steel; buy Whirlpool: Ashwani Gujral",0
05-Mar-18,News highlights of the day: RBI to inject additional liquidity of Rs 1 lakh crore in March,0
01-Mar-18,"Mahindra tractor sales up 36% to 20,483 units in February",0
23-Feb-18,M&M signs agreement for investing in Resfeber Labs,0
20-Feb-18,Pawan Goenka says breakeven in EV biz rests on at least 10x volume growth in segment,0
19-Feb-18,"Exclusive - M&M plans to drop laggards to meet BS-VI norms. End of the road for Verito, Xylo?",0
19-Feb-18,"EXCLUSIVE -- M&M's Pawan Goenka bets on Ola & Uber to drive electric vehicle growth, here's why",0
19-Feb-18,News highlights of the day: Centre to invest Rs 1.44 lakh crore in road projects in Karnataka,0
16-Feb-18,"News highlights of the day: Congress doesn€™t make false promises like BJP, says Rahul Gandhi",0
12-Feb-18,Buy Mahindra and Mahindra; target of Rs 890: Prabhudas Lilladher,0
09-Feb-18,"M&M Q3 profit beats estimates, rises 17% to Rs 1,306 cr; revenue grows 10%",0
09-Feb-18,M&M sells 22% stake in JV Mahindra Sanyo for Rs 146.32 cr,0
09-Feb-18,"News highlights of the day: GST collection will rise as more anti-evasion steps kick-in, says FM Jaitley",0
08-Feb-18,Auto Expo 2018: Peek at M&M's new SUV,1
07-Feb-18,"Buy M&M, ITC, Dish TV, Ashok Leyland; sell Godfrey Phillips, Chennai Petro, LIC Housing, DHFL: Sudarshan Sukhani",1
05-Feb-18,"M&M introduces mHAWK engine on TUV300 entry, mid-variants",1
05-Feb-18,"Bull's Eye: Sell Britannia, Nalco, Pidilite, Vedanta, TVS Motor, IndiGo, Concor; buy M&M",1
02-Feb-18,Mahindra to take a call on new tractor capacity in FY19,1
01-Feb-18,Cost of doing business in India very high and corporate tax is pinching: M&M MD,1
01-Feb-18,Mahindra January volume up 32%; tractor sales jump 18%,1
31-Jan-18,M&M charts out digital transformation strategy,1
04-Jan-18,Buy Mahindra and Mahindra; target of Rs 895: Prabhudas Lilladher,0
04-Jan-18,"Prefer M&M, Maruti Suzuki, Eicher in OEMs; Bharat Forge in auto components segment: CLSA",0
03-Jan-18,"News highlights of the day: Aadhaar not compulsory for rail bookings, says Railways",0
03-Jan-18,Expect electricity demand to go up in near future: Power Secy,0
03-Jan-18,Here's a fundamental view on market from SP Tulsian,0
02-Jan-18,"Buy, Sell, Hold: 1 stock and 2 sectors are on analysts' radar today",0
01-Jan-18,"Hold Mahindra and Mahindra, says Rajesh Agarwal",0
01-Jan-18,Hold Mahindra and Mahindra: Mitessh Thakkar,0
01-Jan-18,"Mahindra sales up 8% to 39,200 units in December",0
01-Jan-18,"Mahindra's auto sector sells 39,200 vehicles during December 2017",0
01-Jan-18,"Buy Mahindra & Mahindra, Sun Pharmaceutical Industries, Piramal Enterprises: Rahul Shah",0
28-Dec-17,"Buy M&M, sell Dabur India: Mitessh Thakkar",0
27-Dec-17,"Buy M&M, Max Financial: Mitessh Thakkar",0
26-Dec-17,Anand Mahindra has a Christmas gift for fans of classic motorcycles,0
19-Dec-17,"GNA Axles' niche player tag, immunity from EV disruption give it an edge",0
19-Dec-17,"Buy HDFC Bank, PC Jeweller, Tata Global, PVR; sell Kaveri Seed: Sudarshan Sukhani",0
18-Dec-17,M&M targets 20% revenue growth from gensets,0
15-Dec-17,"Buy Mahindra & Mahindra, Future Consumer: Mitessh Thakkar",1
01-Dec-17,"M&M posts 18% increase in November auto sales, tractor sales beat estimates",1
01-Dec-17,Mahindra and Mahindra sells 38570 vehicles in November 2017,1
01-Dec-17,News Highlights of the Day: Search operation on in J&K's Baramulla after reports on terrorists,1
30-Nov-17,M&M ups stake in subsidiary Mahindra Finance,1
29-Nov-17,"M&M to hike stake in financial services arm, invest Rs 1,055cr",0
28-Nov-17,Renault Kwid electric in the works for India,0
24-Nov-17,Mahindra to bid for second stage of EESL tender for EVs,0
24-Nov-17,"Mahindra, Uber come together for electric vehicles push in India",0
22-Nov-17,"Buy State Bank of India, Mahindra & Mahindra, CESC, Tata Elxsi: Sandeep Wagle",0
21-Nov-17,Automaker Mahindra wants to sell electric vehicles in US,0
21-Nov-17,News highlights of the day: Robert Mugabe resigns as president of Zimbabwe,0
20-Nov-17,"Tigor electric variant could be rolled out for private buyers, too: Tata Motors MD",0
16-Nov-17,"Ford's India bet rests on M&M partnership, desperate to avoid a GM-like exit",0
14-Nov-17,Mahindra collaborates with Dewulf Group,0
14-Nov-17,M&M rides on strong outlook for farm equipment and reasonable valuation,0
13-Nov-17,Passenger vehicle segment will see double-digit growth for FY18: M&M,0
13-Nov-17,"M&M to inaugurate plant in US on November 20, to make off-road vehicles",0
13-Nov-17,"Pawan Goenka sees double-digit growth in passenger vehicles, stronger tractor sales",0
10-Nov-17,"M&M Q2 profit beats estimates at Rs 1,411 crore; approves bonus issue of 1:1",0
10-Nov-17,Mahindra and Mahindra recommends bonus issue,0
10-Nov-17,News Live: Pakistan allows Kulbhushan Jadhav to meet wife,0
09-Nov-17,M&M Q2 profit seen up 6%; revenue growth may be 20% led by tractor business,0
06-Nov-17,Mahindra Powerol launches all new range of diesel generators,0
06-Nov-17,Mahindra and Mahindra to consider bonus issue,0
01-Nov-17,"M&M sells 51,149 vehicles in October 2017",0
01-Nov-17,"Mahindra tractor sales down 10.88% to 40,262 units in October",0
01-Nov-17,"Mahindra sales down 1.65% to 51,149 units in October",0
01-Nov-17,"Local sales flagging, global carmakers switch to make-in-India to rev up exports",0
24-Oct-17,"Bajaj Auto may hike prices in Jan, expects Maha govt to reimburse Rs 1500 cr in tax",0
23-Oct-17,Mahindras to invest Rs 16 crore to replace LEDs at 18 plants,0
16-Oct-17,Mahindra Logistics may launch IPO later this month: Report,1
13-Oct-17,"Daimler hoping to make India biz profitable next year, aims for 20% share by 2020",0
13-Oct-17,Focus on individual stocks; top 5 stocks which could give up to 10% return in short term,0
12-Oct-17,Mahindra and Mahindra Q2 PAT seen up 13.1% YoY to Rs. 1417 cr: Edelweiss,0
11-Oct-17,Looking at cost-saving steps for e-Verito for EESL order: M&M,0
10-Oct-17,"M&M to fit crossover SUVs with e-motor in future, readying electric KUV100 in 2018",0
10-Oct-17,M&M ready to participate in electric 3-wheeler & buses bid: Pawan Goenka,0
05-Oct-17,We will lose money on every electric car we supply to EESL: M&M's Pawan Goenka,0
05-Oct-17,News LIVE: Future Retail to buy HyperCity for Rs 655 crore,0
04-Oct-17,"Mahindra matches Tata's bid, to supply 150 e-cars in Phase-1",0
04-Oct-17,M&M rolls out W9 variant of XUV500,0
04-Oct-17,Auto sales in September rise on festive cheer,0
03-Oct-17,"Mahindra tractor sales jump 49% to 45,563 units in September",0
03-Oct-17,"Mahindra sales move up 16% to 53,663 units in September",0
03-Oct-17,Mahindra forays into construction equipment space,0
03-Oct-17,Mahindra and Mahindra sells 53663 vehicles in September 2017,0
03-Oct-17,News LIVE: BJP President Amit Shah urges an end to communism in India,0
27-Sep-17,"Short M&M, PVR; Mindtree: Sudarshan Sukhani",0
25-Sep-17,Drones for soil mapping? Mahindra says why not,0
21-Sep-17,Why M&M's acquisition of Turkish tractor firms sits well with its overall strategy,0
20-Sep-17,M&M to acquire 2 Turkish companies for Rs 800 crore,0
20-Sep-17,"Sell M&M; buy Ashok Leyland, Colgate Palmolive, Divis Laboratories: Sudarshan Sukhani",0
20-Sep-17,M&M signs share purchase agreements,0
20-Sep-17,"Mahindra & Mahindra buys Turkish firm's tractor, foundry units for Rs 800 crore",0
20-Sep-17,Cabinet approves 78 days productivity-linked bonus for rail employees,0
19-Sep-17,M&M hopes for regulatory clearance for its ambitious autonomous tractors,0
19-Sep-17,"Heavy rains lash Mumbai, water logging in parts of the city",0
18-Sep-17,"Mahindra, Ford to explore alliance for product development, electric cars",0
18-Sep-17,"M&M, Ford enter into alliance; eye joint product development",0
18-Sep-17,M&M & Ford to explore a strategic alliance,0
13-Sep-17,Despite cash ban used car market topped 3.6 million sales in 2016,1
11-Sep-17,Will pass on cess hike to customers; won't have impact on margin: M&M,1
11-Sep-17,Will pass on cess hike to customers; won€™t have impact on margin: M&M,1
08-Sep-17,"Govt to acquire 50,000 electric three-wheelers in Nov, up to 1 m over 18 months",1
08-Sep-17,Dzire topples Alto to emerge as the largest selling model in August,1
07-Sep-17,"Hold Mahindra and Mahindra, says Avinnash Gorakssakar",1
07-Sep-17,Any increase in prices will impact demand: M&M,1
07-Sep-17,"17 years on, Maruti still commands 50% share of Indian car market",1
05-Sep-17,Monsoon & festive season to boost auto sector even as GST blues fade,1
04-Sep-17,Mahindra €˜withdraws€™ from mass market two-wheeler segment,1
01-Sep-17,"Mahindra tractor sales up 22% at 16,516 units in August",1
01-Sep-17,Mahindra and Mahindra sells 42116 vehicles in August 2017,1
01-Sep-17,"M&M working on electric makeover for Scorpio & XUV500, to spend Rs 300-400 cr on EVs",1
31-Aug-17,"Auto sales preview: Motilal Oswal sees healthy retail growth, festive demand to aid PVs, 2W",1
28-Aug-17,"M&M renames Mahindra Gujarat Tractors, launches a new brand 'Trakstar'",1
28-Aug-17,Mahindra & Mahindra launches new tractor brand Trakstar from Gujarat arm,1
24-Aug-17,"Mahindra Agri eyes 2-fold jump in sales at Rs 1,500 cr in FY18",1
18-Aug-17,M&M feels the heat as GST cess hike hits 75% of Mahindra Scorpio volumes,1
11-Aug-17,"Buy Infosys, sell M&M: Mitessh Thakkar",0
10-Aug-17,Mahindra launches 'JIVO',0
09-Aug-17,Accumulate Mahindra & Mahindra Ltd; target of Rs 1586: Arihant Capital,0
08-Aug-17,"M&M is value investing: Rural recovery, new products to drive long-term story",1
08-Aug-17,"Sell M&M, Coal India; buy Manappuram Finance, hold Tech Mahindra: Sudarshan Sukhani",1
07-Aug-17,M&M falls post FinMin clarification on SUV cess; here€™s what brokerages are talking about stock,0
07-Aug-17,M&M Chairman Anand Mahindra's salary up 16.38% at Rs 7.67 cr in FY17,0
07-Aug-17,May look at logistics business IPO in FY18 itself if timelines permit: M&M,0
07-Aug-17,Changing cess above 15% will need amendment in GST council law: Pawan Goenka,0
07-Aug-17,Optimistic on tyre companies from a long-term perspective: KR Choksey Shares,0
04-Aug-17,M&M Q1 profit tanks 20% to Rs 768 cr; tractor biz drives revenue growth,1
04-Aug-17,M&M: Outcome of board meeting,1
04-Aug-17,M&M Q1 profit seen up 1%; volume and realisations may drive revenue growth,1
02-Aug-17,"Buy Mahindra and Mahindra 1420 Call, Vedanta 290 Call: Amit Gupta",1
01-Aug-17,"M&M July sales meet estimates; grow 6% to 60,579 units but auto exports down 52%",1
01-Aug-17,Mahindra and Mahindra sells 41747 vehicles in July 2017,1
24-Jul-17,Punjab industrial policy to focus on electric vehicles: CM Amarinder Singh,0
18-Jul-17,Mahindra and Mahindra very bullish on American market: Anand Mahindra,0
17-Jul-17,Anand Mahindra exploring opportunity to enter ride-sharing market,0
17-Jul-17,Mahindra's two new models coming by next fiscal-end,0
14-Jul-17,"Stricter BS-VI laws could make the ride bumpy for diesel rickshaws, micro vans",0
13-Jul-17,Mahindra launches Jeeto minivan at Rs 3.45 lakh,0
12-Jul-17,"Buy M&M, Infosys, HDFC; sell Cummins India, CESC: Sudarshan Sukhani",0
12-Jul-17,"Mahindra and Mahindra's Q1 results on August 4, 2017",0
11-Jul-17,Mahindra & Mahindra Q1 PAT seen up 0.6% YoY to Rs 900.4 cr: Edelweiss,0
11-Jul-17,"Buy M&M, Hindustan Unilever; sell Chennai Petro: Sudarshan Sukhani",0
10-Jul-17,M&M€™s loss-making 2-wheeler division drags consolidated performance,0
06-Jul-17,"Despite dropping prices after GST, car manufacturers yet to see buyers",0
06-Jul-17,Expect auto demand to rise in short term after GST: Pawan Goenka,0
06-Jul-17,Video: M&M concall highlights,0
05-Jul-17,When Anand Mahindra stood up for M&M€™s utility vehicle biz despite falling mkt share,0
04-Jul-17,"Mahindra cuts prices of utility vehicle, SUV by up to 6.9 pc",0
03-Jul-17,"Honda readies to take the fight to Royal Enfield, undecided on challenger yet",0
