Dates,text,label
21-Jan-19,"Kotak Mahindra Bank Q3 profit jumps 23 percent to Rs 1,291 crore; asset quality improves",0
15-Jan-19,"Kotak Mahindra Bank Q3 Net Profit seen up 19% YoY to Rs. 1,252.9 cr: Sharekhan",0
15-Jan-19,"Kotak Mahindra Bank Q3 Net Profit seen up 19% YoY to Rs. 1,252.9 cr: Sharekhan",0
01-Jan-19,"NBFC sector remains fragile, but seeing signs of recovery: Uday Kotak",1
17-Dec-18,HC refuses to stay Dec 31 deadline for Kotak Mahindra Bank promoter stake dilution,0
10-Dec-18,Kotak Mahindra Bank tanks 6% as it moves Bombay HC against RBI order,0
07-Dec-18,"Kotak Mahindra, Saraswat Bank launch services on WhatsApp",0
04-Dec-18,"Buy Kotak Mahindra Bank, target Rs 1325: Vinay Rajani",0
29-Nov-18,"Independent directors have role of knowledge, scale and input; but don't push too hard: Uday Kotak",0
15-Nov-18,"ING sells Kotak Mahindra Bank shares worth Rs 1,440cr",0
15-Nov-18,ING to sell 3.7% stake in Kotak Mahindra Bank this week: Report,0
13-Nov-18,Kotak Mahindra Bank Q2 FY19 Earnings Conference Call,0
05-Nov-18,Buy Kotak Mahindra Bank; target of Rs 1461: KR Choksey,0
01-Nov-18,"Sell Kotak Mahindra Bank, target Rs 990: Aditya Agarwala",0
01-Nov-18,"Sell Kotak Mahindra Bank, target Rs 990: Aditya Agarwala",0
01-Nov-18,Podcast | Stock picks of the day: PI Industries among stocks that could return 14% in November,0
26-Oct-18,Buy Mahindra Finance; target of Rs 550: JM Financial,0
26-Oct-18,Buy Kotak Mahindra Bank; target of Rs 1300: JM Financial,0
26-Oct-18,Buy Kotak Mahindra Bank; target of Rs 1400: ICICI Direct,0
26-Oct-18,Buy Kotak Mahindra Bank ; target of Rs 1377: HDFC Securities,0
25-Oct-18,Accumulate Kotak Mahindra Bank; target of Rs 1325: Dolat Capital,0
25-Oct-18,Hold Kotak Mahindra Bank; target of Rs 1291: Prabhudas Lilladher,0
25-Oct-18,Buy Kotak Mahindra Bank; target of Rs 1371: Nalanda Securities,0
25-Oct-18,Kotak Mahindra Bank Q2: CLSA upgrades rating to buy; brokerages wary of promoter stake dilution,0
25-Oct-18,Kotak Mahindra Bank posts steady Q2; promoters€™ stake dilution the sole overhang,0
24-Oct-18,Kotak Bank temporarily suspends digital account opening platform 811,0
24-Oct-18,"Kotak Mahindra Consolidated September 2018 Net Interest Income (NII) at Rs 3,538.36 crore, Up  14.69% Q-o-Q.",0
24-Oct-18,"Kotak Mahindra Standalone September 2018 Net Interest Income (NII) at Rs 2,689.10 crore, up  16.28% Q-o-Q",0
24-Oct-18,"Kotak Mahindra Bank Q2 profit rises 15% to Rs 1,142 cr, asset quality improves",0
24-Oct-18,Kotak Bank likely to post double-digit Q2 profit growth with stable asset quality,0
22-Oct-18,IL&FS may seek government bailout: Report,1
04-Oct-18,Proxy firms question appointment of GN Bajpai to new IL&FS board,0
03-Oct-18,Kotak Bank-Yes Bank: A deal amid adversity?,0
14-Sep-18,"Buy Kotak Mahindra Bank, target Rs 1310: Rupak De",1
11-Sep-18,"Strong support for Nifty at 11,393 for Tuesday. Here are 3 buy/sell calls by Equity99",1
30-Aug-18,Buy Kotak Mahindra Bank; target of Rs 1544: KR Choksey,1
17-Aug-18,Why it's time to relook the RBI policy on bank ownership,0
16-Aug-18,Kotak Mahindra Bank to open over 100 branches in FY 19,0
14-Aug-18,RBI says Kotak Mahindra Bank's preference issue does not meet dilution norms,0
07-Aug-18,"Mahindra & Mahindra Q1 net profit rises 67% at Rs 1,257 cr, ahead of estimates",1
06-Aug-18,Kotak Mahindra Bank preference share issue: Wrong way to do the right thing,1
03-Aug-18,Uday Kotak trims stake in Kotak Mahindra Bank to 19.70%,1
01-Aug-18,Kotak Bank gets nod to raise Rs 500 cr by issuing preference shares,1
26-Jul-18,Buy Kotak Mahindra Bank; target of Rs 1526: KR Choksey,1
26-Jul-18,Buy Kotak Mahindra Bank; target of Rs 1378: HDFC Securities,1
24-Jul-18,Buy Kotak Mahindra Bank; target of Rs 1421: Edelweiss,1
24-Jul-18,Hold Kotak Mahindra Bank; target of Rs 1398: Prabhudas Lilladher,1
23-Jul-18,Buy Kotak Mahindra Bank; target of Rs 1490: ICICI Direct,1
23-Jul-18,"Jefferies downgrades Kotak Mahindra Bank to Underperform, cuts target price",1
20-Jul-18,"Ideas for Profit: Weaker headline masks core strength in Kotak Mahindra Bank, buy on consolidation",1
19-Jul-18,"Kotak Mahindra Bank Q1 net profit up 12.3% at Rs 1,025 cr, provisions up 130%",1
18-Jul-18,Q1 Preview: Kotak Mahindra Bank net profit expected to rise 28%,1
15-Jun-18,"Kotak Mahindra Bank to raise up to Rs 5,000 cr via securities",0
12-Jun-18,Kotak Mahindra Bank is in no mood to sell its 15% stake in MCX: Uday Kotak,0
15-May-18,"Corporates hit out against hate-mongering again, sack employee for tweeting calls for rape",0
07-May-18,Buy Kotak Mahindra Bank; target of Rs 1440: ICICI Direct,0
07-May-18,Buy Kotak Mahindra Bank; target of Rs 1366: Edelweiss,0
07-May-18,Buy Kotak Mahindra Bank; target of Rs 1402: KR Choksey,0
07-May-18,Accumulate Kotak Mahindra Bank; target of Rs 1239: Prabhudas Lilladher,0
04-May-18,Buy Kotak Mahindra Bank; target of Rs 1400: Motilal Oswal,0
02-May-18,Invest in Kotak Mahindra Bank for long term: Akash Jain,0
02-May-18,Kotak Mahindra Bank: Stock yet to fully value subsidiaries,0
30-Apr-18,"Kotak Mahindra Bank Q4 net profit up 15% YoY at Rs 1,124 crore, misses estimates",0
30-Apr-18,Kotak Bank expected to post 20% rise in Q4 net profit,0
27-Apr-18,Shikha Sharma puts up a brave front even as Axis Bank posts record loss,0
26-Apr-18,"Kotak Mahindra Bank Q4 PAT seen up 21% YoY to Rs. 1,576.9 cr: Edelweiss",0
26-Apr-18,"Kotak Mahindra Bank Q4 PAT seen up 18% YoY to Rs. 1,152.4 cr: ICICI Direct",0
26-Apr-18,"Kotak Mahindra Bank Q4 PAT seen up 19% YoY to Rs. 1,159.3 cr: KR Choksey",0
13-Apr-18,Kotak Mahindra Bank sacks employee for hate post against Kathua rape victim,0
12-Apr-18,Kotak Mahindra Bank says business not impacted by payments banks,0
12-Apr-18,Govt needs to re-look at certain provisions of IBC: Uday Kotak,0
06-Apr-18,"Buy Kotak Mahindra Bank, target Rs 1240: Hadrien Mendonca",0
05-Apr-18,"Kotak Mahindra Bank to consider March quarter results on April 30, 2018",0
27-Mar-18,"Buy Kotak Mahindra Bank, Axis Bank, PNB Housing, Escorts, SREI Infra, Bajaj Auto: Ashwani Gujral",0
21-Mar-18,"Uday Kotak calls on Modi govt to set up a committee on ownership, governance and risks",0
13-Mar-18,"Buy Kotak Bank, Shriram Transport, Tata Global, HDFC, TCS, L&T, ACC; sell CESC, Cummins: Sudarshan Sukhani",0
07-Mar-18,"Sell Canara Bank, Punjab National Bank; buy Ashok Leyland: Ashwani Gujral",1
28-Feb-18,See overall credit growth picking up in banking system: Kotak Mahindra,1
05-Feb-18,"Sell Kotak Mahindra Bank, Godrej Industries: Sandeep Wagle",0
29-Jan-18,"Buy Kotak Mahindra Bank, Tata Steel, Tech Mahindra: Rahul Shah",1
22-Jan-18,Accumulate Kotak Mahindra Bank; target of Rs 1172: KRChoksey,0
22-Jan-18,Kotak Mahindra Bank gains 2% post Q3 results; brokerages term it a stable quarter,0
19-Jan-18,Kotak Bank awaits pricing cues and resolutions under IBC to start buying stressed assets,0
19-Jan-18,Kotak Mahindra Bank opposes 100% FDI in banking; says Indian savers must benefit,0
19-Jan-18,"News highlights of the day: World wants to hear directly from horse's mouth, says PM Modi on Davos",0
19-Jan-18,"Kotak Mahindra Bank Q3: Standalone profit rises 20% to Rs 1,053 cr; asset quality improves",0
18-Jan-18,"Kotak Mahindra Bank Q3 profit may rise 21%, low cost deposit flow could be strong",0
16-Jan-18,News highlights of the day: AirAsia India says no plans to look at Air India stake,0
15-Jan-18,"Merged entity to focus on branch expansion, cross selling products: Capital First",0
15-Jan-18,"Merged entity to focus on branch expansion, cross selling products: Capital First",0
15-Jan-18,"Buy Kotak Mahindra Bank, UltraTech Cement: Mitessh Thakkar",0
15-Jan-18,"Uday Kotak calls rising financial savings a 'bubble', says money going into few hundred stocks",0
12-Jan-18,Banking sector this week: Results season kicks off with treasury blues; Aadhaar turns more secure,0
20-Dec-17,ATM breach: How to take precautions pre and post debit or credit card use,1
18-Dec-17,"Kotak Mahindra Bank to buy mid-sized stressed assets from IBC but price has to evolve: Dipak Gupta, joint MD",1
13-Dec-17,Kotak Mahindra Bank can climb to around Rs 1060: Prakash Gaba,1
13-Dec-17,"Buy Kotak Mahindra Bank, Sun TV: Sandeep Wagle",1
08-Dec-17,"Global investors are reaping benefits of HDFC growth story, not Indians: Uday Kotak",0
04-Dec-17,"Sell Kotak Mahindra Bank, Oriental Bank; buy Mindtree, IGL: Mitessh Thakkar",0
15-Nov-17,"Buy Kotak Mahindra Bank; sell Godrej Industries, Bajaj Finserv, BHEL: Mitessh Thakkar",0
30-Oct-17,Accumulate Kotak Mahindra Bank; target of Rs 1104: KR Choksey,1
30-Oct-17,Buy Kotak Mahindra Bank; target of Rs 1075: JM Financial,1
27-Oct-17,Buy Kotak Mahindra Bank; target of Rs 1179: Motilal Oswal,1
26-Oct-17,"Hold Kotak Mahindra Bank; target of Rs 1,056: Edelweiss",1
26-Oct-17,Analysts remain neutral on Kotak Mahindra Bank despite better Q2 performance,1
26-Oct-17,"Buy, Sell, Hold: 6 stocks are on analysts€™ radar today",1
25-Oct-17,"Kotak Mahindra Bank Q2 profit rises 22%, loan book grows 21%; asset quality improves",1
24-Oct-17,"Kotak Mahindra Bank Q2 profit seen up 24%, loan growth may be around 15%",1
05-Oct-17,Kotak Mahindra Bank may test Rs 1500: Ashwani Gujral,0
22-Sep-17,"Buy Kotak Mahindra Bank, Cipla; sell SREI Infrastructure: Ashwani Gujral",0
19-Sep-17,"Buy Kotak Mahindra Bank, Reliance Industrial Infrastructure: Mitessh Thakkar",0
12-Sep-17,"Buy Kotak Mahindra Bank, Adani Enterprises: Mitessh Thakkar",0
06-Sep-17,"Digital payments growth dips 27% in Aug from peak; BHIM, UPI to take charge",0
06-Sep-17,"JPMorgan upgrades Kotak Mahindra Bank, ups target on hopes of strong growth",0
01-Sep-17,"Buy Kotak Mahindra Bank, Asian Paints, CESC: Ashwani Gujral",0
21-Aug-17,"Sell Kotak Mahindra Bank, Dabur India: Mitessh Thakkar",0
04-Aug-17,Need to be cautious about cutting rates for accounts below Rs 1cr: Kotak Mahindra,1
03-Aug-17,Kotak Mahindra Bank holds retail savings rate,1
27-Jul-17,A further re-rating on the cards for Yes Bank?,1
25-Jul-17,Accumulate Kotak Mahindra Bank; target of Rs 1104: KR Choksey,0
25-Jul-17,Hold Kotak Mahindra Bank; target of Rs 970: ICICI Direct,0
24-Jul-17,Buy Kotak Mahindra Bank; target of Rs 1109: HDFC Securities,0
21-Jul-17,Hold Kotak Mahindra Bank; target of Rs 1001: Edelweiss,0
21-Jul-17,"Buy, Sell, Hold: Analysts are watching these 3 stocks today. Do you have them in your portfolio?",0
21-Jul-17,"Kotak Mahindra Bank to raise Rs 65,000 cr",0
20-Jul-17,Kotak Mahindra Bank's exposure at Rs 236 cr to 4 of 12 NPAs on RBI radar,0
20-Jul-17,Kotak Mahindra Bank Q1 FY18 €“ Well-capitalised and ready for leap,0
20-Jul-17,"Buy Kotak Mahindra Bank, says Rajat Bose",0
20-Jul-17,Kotak Mahindra Bank hits 52-week high; top 5 takeaways from Q1 results,0
20-Jul-17,Kotak Mahindra Bank Q1 profit at Rs 913 cr misses estimates; NPA lower at 1.25%,0
19-Jul-17,"Kotak Mahindra Bank Q1 profit seen up 40%, low cost deposit flow may be strong",0
17-Jul-17,"Buy Kotak Mahindra Bank, JSW Steel, ICICI Bank: Yogesh Mehta",0
28-Jun-17,"Kotak Mahindra Bank's board meeting on July 20, 2017",0
02-Jun-17,"Banking industry in its current form is unsustainable, says Uday Kotak",0
25-May-17,"Buy Kotak Mahindra Bank, Tata Motors, CG Power: CA Rudramurthy",0
22-May-17,Uday Kotak sells 1.8 crore shares in Kotak Mahindra Bank: Sources,0
19-May-17,"Buy Kotak Mahindra Bank, GMDC; sell Sun TV: Ashwani Gujral",0
17-May-17,"Kotak Mahindra Bank raises Rs 5,800 cr via QIP",0
17-May-17,Kotak sees a blockchain banking consortium in future,0
15-May-17,"Indian banks don't Wannacry; RBI tells them to upgrade ops, ATMs",0
15-May-17,"Buy Kotak Mahindra Bankï»¿, Godrej Industries, NMDC: Rahul Shah",0
12-May-17,"Buy Kotak Mahindra Bank, says Sandeep Wagle",0
12-May-17,"Kotak Mahindra Bank to price share offer at top of range, raising $901 million",0
11-May-17,Kotak Mahindra Bank board approves QIP at Rs 913.24 per share,0
10-May-17,Kotak Mah Bank likely to launch a QIP this week; looks to raise over Rs 5K cr: Srcs,0
10-May-17,"Buy Kotak Mahindra Bank, Bajaj Finance, Britannia Industries: Yogesh Mehta",0
09-May-17,Kotak Mahindra Bank: Outcome of EGM,0
05-May-17,Hold Kotak Mahindra Bank; target of Rs 965: Axis Direct,0
03-May-17,"Buy Kotak Bank, Bajaj Auto, GSPL, Sharda Cropchem; sell SAIL: Sudarshan Sukhani",0
02-May-17,KMB banks on '811' to double its customer base in two years,0
02-May-17,Hold Kotak Mahindra Bank; target of Rs 950: ICICI Direct,0
28-Apr-17,Kotak Bank to buy out Old Mutual's insurance stake for Rs 1292 crore,0
28-Apr-17,Hold Kotak Mahindra Bank; target of Rs 896: Edelweiss,0
28-Apr-17,Buy Kotak Mahindra Bank; target of Rs 1050: Motilal Oswal,0
28-Apr-17,Here€™s what analysts are talking about Kotak Mahindra Bank€™s Q4 performance,0
28-Apr-17,Kotak Bank Q4 shows a steady ship navigating with caution,0
28-Apr-17,No plans to list life insurance co currently; industry to grow by 15%: Kotak Bank,0
28-Apr-17,"Kotak Mahindra Bank to buy out British partner Old Mutual for Rs 1,292 crore",0
28-Apr-17,Kotak Mahindra Bank to buy 26% stake in Kotak Mahindra Old Mutual Life Insurance,0
27-Apr-17,"Kotak Mahindra Bank sees uptick in bad loans in Q4, but hopes to reverse trend in FY18",0
27-Apr-17,"Hold Kotak Mahindra Bank, advises Neeraj Deewan",0
27-Apr-17,"Hold Kotak Mahindra Bank, says Vijay Chopra",0
27-Apr-17,"Kotak Mahindra Bank Q4 profit soars 40%, NIM improves but net NPA jumps 25%",0
27-Apr-17,"Buy Kotak Mahindra Bank, Allcargo Logistics, Tata Motors, HUL: Sudarshan Sukhani",0
26-Apr-17,"Kotak Mahindra Bank Q4 profit seen up 30% at Rs 909 cr, loan growth key",0
17-Apr-17,"JPMorgan raises target on Kotak Mahindra Bank, expects sharp earnings bounceback",0
12-Apr-17,Hold Kotak Mahindra Bank; target Rs 1100: Sandeep Wagle,0
11-Apr-17,"Kotak Mahindra Bank's EGM on May 9, 2017",0
07-Apr-17,Kotak Mahindra Bank to float infrastructure debt fund,0
06-Apr-17,"Buy Kotak Mahindra Bank, advises Sudarshan Sukhani",0
03-Apr-17,Nifty at all-time high: Don't miss these 5 investment ideas for FY18,0
03-Apr-17,"Buy Kotak Mahindra Bank, HCL Technologies, Bharat Forge; sell Lupin: Sudarshan Sukhani",0
03-Apr-17,"Kotak Mahindra Bank wants to be a consolidator, seeks 'shout-outs'",0
31-Mar-17,Buy Kotak Mahindra Bank; target of Rs 1015: Motilal Oswal,0
31-Mar-17,"Buy, Sell, Hold: 9 stocks, 1 sector on analysts' radar as April series begins",0
30-Mar-17,"Kotak Mahindra Bank to raise Rs 5,500 crore, pursue consolidation opportunities",0
30-Mar-17,Kotak Mahindra Bank: Outcome of board meeting,0
30-Mar-17,"Buy Edelweiss Financial Servicesï»¿, JM Financial: Sudarshan Sukhani",0
30-Mar-17,Financials services industry to be more consolidated than it is today: Uday Kotak,0
29-Mar-17,Uday Kotak pegs banking stressed assets at Rs 14 lakh crore,0
29-Mar-17,Kotak Bank€™s 811 €“ a big leap in digital play but not so in projected financials,0
29-Mar-17,Kotak Mahindra Bank unveils bold organic growth charter with 811,0
29-Mar-17,"Kotak Mahindra Bank dials 811 to double customer base, announces new strategy",0
29-Mar-17,Kotak Mahindra Bank's 811 plan to double customer growth - as it happened,0
29-Mar-17,Merger buzz: Axis Bank up 1% ahead of Kotak press conference today,0
28-Mar-17,Here are some fundamental trading ideas from Prakash Diwan,0
28-Mar-17,Kotak Bank lines up press conference tomorrow. Is Axis merger on the cards?,0
28-Mar-17,Do not see major acquisition announcement by Kotak Mah Bank: Nirmal Bang Sec,0
21-Mar-17,Maybe it's time for hostile takeovers; govt must back honest risks: Uday Kotak,0
17-Mar-17,Kotak Bank seeks nod to raise foreign investment limit to 49%,0
17-Mar-17,Kotak Mahindra Bank: Outcome of board meeting,0
14-Mar-17,"Buy Adani Power, Bajaj Electricals, Texmaco Rail: Sudarshan Sukhani",0
10-Mar-17,IndusInd Bank confirms deal talks with MFI Bharat Financial,0
08-Mar-17,"Uday Kotak sells 1.5% stake in Kotak Mahindra for Rs 2,255 cr",0
08-Mar-17,"Buy Kotak Bank on dips; short Amara Raja, Apollo Tyres: Gaba",0
08-Mar-17,Kotak Mahindra Bank board hikes FII investment limit to 42%,0
08-Mar-17,"Buy Kotak Mahindra Bank, Colgate; sell NMDC: Sandeep Wagle",0
08-Mar-17,"Buy Kotak Mahindra Bank, NMDC: Mitessh Thakkar",0
08-Mar-17,"Buy Kotak Mahindra Bank, target Rs 900: Mitessh Thakkar",0
08-Mar-17,"Buy Colgate, TCS, Bajaj Finance; sell Amara Raja: Sukhani",0
07-Mar-17,"Buy, sell, hold: 10 stocks that you can focus today",0
02-Mar-17,"Buy Kotak Mahindra Bank 840 Call, advises VK Sharma",0
27-Feb-17,Varun Beverages raises Rs 300 cr via debentures,0
27-Feb-17,"Buy, sell, hold: 6 stocks analysts are watching out",0
27-Feb-17,Counter bids for Axis Bank likely; board holds key: Jefferies,0
23-Feb-17,SBI to merge with associates from April 1,0
22-Feb-17,"COMMENT: Axis Bank suitor list grows, but Kotak unlikely to overpay",0
22-Feb-17,"Sell Kotak Bank, Century Textiles; buy Coal India: Gujral",0
22-Feb-17,Axis Bank's NPA woes may stall merger plans with Kotak: Analyst,0
22-Feb-17,Here's why private banks may have shown interest in Axis Bank,0
21-Feb-17,No communication on Axis-Kotak merger: Finmin sources,0
21-Feb-17,Tulsian tells: Why govt could divest its stake in Axis Bank,0
20-Feb-17,"Buy, sell, hold: 7 stocks analysts are watching out",0
17-Feb-17,"Sell Kotak Mah Bank, Axis Bank, IndusInd Bank: Ashwani Gujral",0
17-Feb-17,Pick Kotak Mahindra Bank: Ashwani Gujral,0
17-Feb-17,"Buy, sell, hold: 6 stocks that analysts are watching out",0
16-Feb-17,"Bad bank is a good idea, says Uday Kotak",0
15-Feb-17,COMMENT: Kotak & Axis - good together or better alone?,0
14-Feb-17,"Buy Kotak Bank, Bharat Forge, Exide Industries: Chandan Taparia",0
13-Feb-17,"Kotak Conference: Pvt investment may turn positive in 9-12 months, says Expert",0
13-Feb-17,"Buy Kotak Mahindra Bank, Dish TV: Mitessh Thakkar",0
10-Feb-17,World could see a protectionism mega trend: Uday Kotak,0
10-Feb-17,"Buy Grasim Industries, Kotak Mahindra Bank: Mitessh Thakkar",0
09-Feb-17,"Buy Kotak Mahindra Bank, ITC: Rahul Mohindar",0
09-Feb-17,Kotak-Axis merger in the works? Both banks say no,0
07-Feb-17,"Buy HPCL, Kotak Bank, Edelweiss Financial: Ashwani Gujral",0
01-Feb-17,RBI asks Kotak Mahindra to cut promoter stake to 15% by 2020,0
30-Jan-17,Hold Kotak Mahindra Bank; target of Rs 840: ICICI Direct,0
27-Jan-17,Buy Kotak Mahindra Bank; target of Rs 940: Motilal Oswal,0
27-Jan-17,Buy Kotak Mahindra Bank; target of Rs 936: HDFC Securities,0
27-Jan-17,"How new-gen Kotak, IndusInd, Yes banks beat older rivals on NPAs",0
27-Jan-17,"Buy Bata, Kotak Bank, M&M, NLC India, ACC: Mitessh Thakkar",0
27-Jan-17,"Buy, sell, hold: How to trade 8 key stocks post Q3 results?",0
25-Jan-17,Here is why SP Tulsian bets on bank stocks,0
25-Jan-17,Flexible product mix helped Kotak keep slippages in check: Diwan,0
25-Jan-17,"Buy UPL, Dewan Housing, Capital First: Ashwnai Gujral",0
25-Jan-17,"Kotak Mahindra Bank Q3 profit zooms 39%, asset quality improves",0
24-Jan-17,"Kotak Mahindra Bank Q3 profit seen up 27%, loan growth key",0
23-Jan-17,"Buy Vedanta, Kotak Bank, GAIL India, HUL: Ashwani Gujral",0
20-Jan-17,"Kotak Bk, Canada Pension set to close $525 mn Special Fund: Srcs",0
19-Jan-17,Here is why SP Tulsian is bullish on Yes Bank,0
18-Jan-17,Here is why SP Tulsian is positive on Federal Bank,0
17-Jan-17,PTC India a big beneficiary of rising power demand: SP Tulsian,0
16-Jan-17,BSE's international exchange goes live for trading,0
16-Jan-17,Kotak Mahindra stake buy in MCX under lens (Exclusive),0
16-Jan-17,"Buy Kotak Mahindra Bank, Arvind: Mitessh Thakkar",0
16-Jan-17,"Buy HDIL, Kotak Mahindra Bank, Century Textiles: Ashwani Gujral",0
13-Jan-17,Axis Bank cuts MCLR by up to 70 bps,0
13-Jan-17,Indian banks strengthen presence at DIFC,0
13-Jan-17,"Airtel rolls out payments bank, to invest Rs 3,000 cr",0
10-Jan-17,"Tulsian's preferred picks in transmission, bank & tyre sectors",0
09-Jan-17,"Bull's Eye: Buy PNB, Biocon, Ashok Leyland, Exide, BoB",0
06-Jan-17,Kotak Mahindra Bank revises base rate downwards by 10bps,0
05-Jan-17,BoB reduces MCLR by up to 75 bps,0
04-Jan-17,"Buy HDIL, HCL Technologies; sell Kotak Mahindra Bank: Wagle",0
04-Jan-17,"Buy Ashok Leyland, NCC; sell Kotak Mahindra Bank: Ashwani Gujral",0
03-Jan-17,"Loan growth to remain cautious, cash ban positive for NPL: Kotak",0
03-Jan-17,"Sell Infosys, Kotak Bank; buy Sun TV Network: Ashwani Gujral",0
03-Jan-17,"Kotak Mahindra Bank's Q3 results on January 25, 2017",0
03-Jan-17,ICICI Bank cuts lending rate by 0.7%,0
02-Jan-17,"BHIM downloaded 3 mn times, top app in India: Kant",0
02-Jan-17,"Banks sharply cut lending rates after low-cost deposits,PM nudge",0
02-Jan-17,Kotak Mahindra Bank cuts MCLR by up to 0.45 pc,0
02-Jan-17,Kotak Mahindra Bank revises MCLR downwards by up to 45 bps,0
28-Dec-16,Here is why Tulsian bets on NBFC and bank stocks,0
28-Dec-16,ED arrests Kotak Mahindra branch manager for Rs 34 cr deposits,0
22-Dec-16,"Sell Jubilant Food; buy BEML, Engineers India: Ashwani Gujral",0
19-Dec-16,"Buy IGL, Petronet; sell Kotak Bank, HUL: Ashwani Gujral",1
14-Dec-16,Digitisation integral part of co; focus on B2B seg: Tech Mah,1
13-Dec-16,"Sell PNB, Kotak Bank, L&T Finance, Pidilite; buy EIL: Gujral",1
13-Dec-16,Jet Airways offers EMI payment option to purchase tickets,1
08-Dec-16,"Buy Tata Motors DVR, Vedanta, Kotak Bank: Ashwani Gujral",1
06-Dec-16,"Buy SBI, Kotak Mahindra Bank, Bharat Electronics: Ashwani Gujral",1
02-Dec-16,Kotak Mahindra Bank sharpens digital mode post demonetisation,1
02-Dec-16,"Sell Kotak Bank, L&T Finance; buy Motherson Sumi: Ashwani Gujral",1
02-Dec-16,"Sell Arvind, Asian Paints: Mitesh Thacker",1
30-Nov-16,"Buy Kotak Mahindra Bank, ICICI Bank, Ceat: Ashwani Gujral",0
28-Nov-16,"Buy, sell, hold: How to trade bank & auto stocks?",1
24-Nov-16,"Sell BPCL, Dish TV; buy Bharat Forge: Mitesh Thacker",1
